"","word","freq"
"colgate","colgate",301
"oral","oral",85
"sensodyne","sensodyne",26
"fortident","fortident",21
"oralb","oralb",20
"fluocardent","fluocardent",19
"sensodine","sensodine",17
"fluo","fluo",9
"cardent","cardent",7
"triple","triple",6
"white","white",6
"total","total",5
"acción","acción",4
"carden","carden",4
"luminous","luminous",3
"fortiden","fortiden",3
"accion","accion",2
"colgatte","colgatte",2
"palmolive","palmolive",2
"corega","corega",2
"fluocarden","fluocarden",2
"flúor","flúor",2
"luminos","luminos",2
"sensitiv","sensitiv",2
"listerine","listerine",2
"calgate","calgate",1
"ccolgate","ccolgate",1
"cogate","cogate",1
"colgante","colgante",1
"colgaste","colgaste",1
"fortidents","fortidents",1
"luminows","luminows",1
"oralve","oralve",1
"waith","waith",1
"colate","colate",1
"colgste","colgste",1
"crest","crest",1
"cristal","cristal",1
"csensodyne","csensodyne",1
"dental","dental",1
"dentex","dentex",1
"dim","dim",1
"flourcardent","flourcardent",1
"fluorcrdent","fluorcrdent",1
"fortedent","fortedent",1
"fortidemt","fortidemt",1
"fourtident","fourtident",1
"jgb","jgb",1
"parodontax","parodontax",1
"pro","pro",1
"reach","reach",1
"sensitive","sensitive",1
"sensitivi","sensitivi",1
"sensity","sensity",1
"srnsodyne","srnsodyne",1
"ultra","ultra",1
"calenduls","calenduls",1
"collinos","collinos",1
"coorpo","coorpo",1
"coralb","coralb",1
"flurcarden","flurcarden",1
"fresh","fresh",1
"kids","kids",1
"proquident","proquident",1
"recuerdo","recuerdo",1
"sensive","sensive",1
"sensoydine","sensoydine",1
